,0,1
345,0001101001,587
245,0101100101,579
208,0100111000,572
427,0101011101,566
100,0100110110,565
262,0000100111,564
127,0010011010,561
138,0111000110,561
280,0110100100,558
145,0100110100,557
263,0101010110,557
112,0011010101,555
265,0111010111,555
288,0110010010,554
291,0111000000,552
382,0101011100,552
197,0000111011,549
192,0001011111,547
212,0010010010,546
150,0000010111,546
137,0110100110,546
251,0101101011,546
424,0001001001,544
216,0010010011,544
129,0010111101,543
173,0100100101,542
252,0101100110,541
435,0111010000,540
433,0001011100,540
230,0110011010,540
243,0111000001,540
148,0101100100,539
304,0111100001,538
109,0010100111,538
220,0011001011,538
172,0111010011,537
215,0111010110,536
286,0001000111,534
227,0100010001,534
189,0010110110,534
194,0100100100,533
177,0110011001,533
162,0110001111,532
151,0011010010,532
101,0001001101,532
248,0000111100,531
196,0110110001,531
292,0111010101,531
223,0101101001,531
144,0110101101,530
257,0011011100,530
124,0101000111,529
224,0011001101,529
296,0101110001,529
221,0110010111,528
136,0110110010,528
281,0110111011,528
234,0001001011,528
209,0111001110,527
236,0101111110,527
203,0001101101,526
241,0101111010,525
334,0101111101,525
323,0011110111,524
338,0101010001,524
231,0110011111,523
149,0100111010,523
167,0001101011,523
351,0010111001,523
199,0011101001,522
335,0111101000,522
229,0100011101,522
327,0101010011,522
273,0101011110,520
187,0010011011,520
239,0101001011,520
93,0001011110,520
198,0001111101,520
108,0111101101,519
341,0001110110,519
331,0011010011,518
170,0011010100,518
99,0111001100,518
412,0011011010,518
298,0001010100,518
343,0111111110,518
477,0010101111,517
179,0001011001,517
133,0011111110,517
141,0100110111,517
116,0000000111,517
308,0011111101,517
297,0010110011,516
484,0011011001,516
302,0111100000,516
264,0111011000,516
139,0111000100,516
485,0110011110,515
260,0000110111,515
238,0111100111,515
271,0101001001,515
134,0000111010,515
130,0111001000,514
295,0010110010,514
307,0110110100,512
185,0110011101,512
183,0111101010,512
96,0011111111,511
284,0010011110,511
268,0101001101,511
279,0111000011,511
315,0110101100,511
122,0000101111,510
168,0100010011,510
332,0000001111,509
155,0001111000,509
193,0001110101,508
184,0111011001,508
349,0111000010,508
246,0110111101,507
300,0110111111,507
258,0011110101,506
200,0100111101,505
126,0111111010,505
169,0000011111,505
274,0011000111,505
119,0110000111,504
448,0011110100,504
353,0001110100,504
175,0100010101,504
266,0100101110,504
259,0010111000,504
161,0101111000,503
143,0111111011,503
102,0011101011,503
237,0001111010,502
201,0000111001,502
95,0101101111,502
110,0011001001,501
316,0111001010,501
348,0011110011,500
152,0110010001,500
104,0101010100,500
278,0100100110,500
441,0001010110,499
166,0100101101,499
247,0110010101,499
333,0101110101,499
325,0101110011,498
132,0010010110,497
256,0010001111,497
418,0010111100,497
460,0101101100,496
357,0100101100,496
120,0101111001,495
115,0011110010,495
277,0011111000,495
153,0101111100,494
276,0011100111,494
372,0100110011,494
156,0011010111,493
329,0110100101,493
165,0101101110,493
164,0011101101,492
233,0111100011,492
94,0110111110,491
410,0001010101,491
111,0000111000,490
342,0010000111,489
146,0111001111,489
397,0100011011,489
244,0111000101,488
186,0100110001,487
285,0110101110,487
340,0111100010,487
117,0100011001,487
270,0110010110,487
481,0100001111,486
488,0000111110,486
142,0010111111,485
160,0100000111,482
225,0110111000,479
182,0111110011,478
118,0000111101,478
254,0111110000,475
113,0111110100,474
468,0101111011,473
195,0111011110,473
219,0101010111,473
322,0011111011,468
180,0001011011,462
289,0001100111,459
303,0100011000,9
206,0101000101,8
383,0100001010,8
324,0011001010,8
428,0100001011,7
204,0101000000,7
403,0011000110,7
459,0000010011,7
466,0011111010,7
344,0100110000,7
492,0110110000,7
88,0001010111,7
158,0110100111,7
56,0101001000,6
121,0101011011,6
490,0011011101,6
261,0101001110,6
486,0001000011,6
454,0110001011,6
419,0000111111,6
374,0010000000,6
305,0010001010,6
301,0110100011,5
380,0101011001,5
105,0001010011,5
417,0000010101,5
384,0100000101,5
294,0110110101,5
106,0100011110,5
387,0011010000,5
249,0101011010,5
378,0100001100,5
87,0000110110,5
407,0010010001,5
406,0111011011,5
81,0001110010,5
79,0110000110,5
402,0010001000,5
65,0100001101,5
393,0000101100,5
463,0010010111,5
282,0100000001,5
68,0100100010,5
275,0001001111,5
464,0000000101,5
73,0000110000,5
51,0000110001,5
474,0111101110,5
36,0101000011,5
354,0101101010,5
38,0101110000,5
178,0010000001,5
213,0010100001,5
361,0011011011,5
366,0100111001,5
45,0010000110,5
318,0010000011,5
157,0001101111,5
320,0001101000,5
423,0010100101,5
476,0111010010,5
309,0000101011,5
457,0100000110,5
479,0010000101,5
425,0001111111,5
49,0101000110,4
346,0000101110,4
395,0100111111,4
350,0001101110,4
66,0110000010,4
40,0001111011,4
330,0010011000,4
392,0101010000,4
311,0100010100,4
391,0111001001,4
386,0110000100,4
390,0011100001,4
360,0100010010,4
451,0001111110,4
55,0111101011,4
376,0101110010,4
475,0011101110,4
293,0110110110,4
57,0111111100,4
450,0010010101,4
75,0010000010,4
125,0000011101,4
10,0100100000,4
250,0100100001,4
414,0010001011,4
416,0100011010,4
240,0010011100,4
